Company,Rating,Reviews,Service_Type,Headquarters
Manappuram Finance,3.9,6k,NBFC,Bengaluru
ICICI Lombard General Insurance Company,3.5,6k,Insurance,Mumbai
Siemens,3.9,5.9k,Industrial Automation,Bengaluru
GlobalLogic,3.5,5.9k,IT Services & Consulting,Hyderabad
Firstsource Solutions,3.5,5.9k,BPO,Bengaluru
Apollo Hospitals,4.0,5.9k,Healthcare,Chennai
Aurobindo Pharma,4.0,5.9k,Pharma,Hyderabad
Tata Capital,4.0,5.9k,NBFC,Mumbai
Shapoorji Pallonji Group,4.1,5.9k,Engineering & Construction,Mumbai
UST,3.7,5.8k,IT Services & Consulting,Bengaluru
Swiggy,3.7,5.8k,Internet,Bengaluru
Standard Chartered,3.6,5.8k,Banking,Chennai
Mahindra Finance,3.8,5.8k,NBFC,Mumbai
Bosch Global Software Technologies,3.7,5.8k,IT Services & Consulting,Bengaluru
Udaan,3.9,5.7k,Internet,Bengaluru
Citicorp,3.6,5.7k,Financial Services,Pune
Ashok Leyland,4.0,5.7k,Automobile,Chennai
Hero MotoCorp,4.1,5.6k,Automobile,Gurugram
CGI Inc,4.0,5.6k,IT Services & Consulting,Bengaluru
SBI Cards & Payment Services,3.6,5.5k,Financial Services,Gurugram
NTT DATA,3.8,5.4k,IT Services & Consulting,Bengaluru
Kalpataru Projects International,4.1,5.4k,Engineering & Construction,Mumbai
Cyient,3.6,5.4k,IT Services & Consulting,Hyderabad
BNY,3.6,5.4k,Financial Services,Pune
Nagarjuna Construction Company,4.0,5.4k,Engineering & Construction,Hyderabad
IQVIA,3.7,5.4k,Clinical Research,Bengaluru
Schneider Electric,4.1,5.3k,Industrial Automation,Bengaluru
SBI Life Insurance Company,3.7,5.3k,Insurance,Mumbai
CBRE,4.1,5.3k,Real Estate,Hyderabad
JustDial,3.5,5.3k,Internet,Noida
TVS Motor,3.8,5.2k,Automobile,Hosur
State Bank of India,3.9,5.2k,Banking,Mumbai
Persistent Systems,3.6,5.2k,IT Services & Consulting,Pune
KEC International,4.0,5.1k,Engineering & Construction,Mumbai
ITC Infotech,3.8,5.1k,IT Services & Consulting,Bengaluru
Amdocs,3.6,5k,Software Product,Pune
Atos,3.8,5k,IT Services & Consulting,Pune
vivo,4.0,5k,Consumer Electronics & Appliances,Noida
Varun Beverages,4.0,5k,Beverage,New Delhi
JBM Group,3.9,5k,Auto Components,Gurugram
Utkarsh Small Finance Bank,3.6,4.9k,Banking,Varanasi
Ecom Express,4.1,4.9k,Logistics,Gurugram
Randstad,3.7,4.8k,Recruitment,Hyderabad
Nagarro,3.9,4.8k,IT Services & Consulting,Gurugram
EY Global Delivery Services ( EY GDS),3.5,4.8k,IT Services & Consulting,Bengaluru
Eviden,3.6,4.8k,IT Services & Consulting,Pune
Bosch,4.1,4.8k,Auto Components,Bengaluru
Hetero,3.9,4.8k,Pharma,Hyderabad
Intas Pharmaceuticals,4.1,4.8k,Pharma,Ahmedabad
Havells,3.9,4.7k,Electrical Equipment,Noida
L&T Finance,3.9,4.7k,NBFC,Mumbai
R1 RCM,3.8,4.7k,BPO,New Delhi
Aditya Birla Fashion and Retail,4.0,4.7k,Fashion & Textile,Bengaluru
Tata AIA Life Insurance,3.8,4.7k,Insurance,Mumbai
Hewlett Packard Enterprise,4.0,4.7k,IT Services & Consulting,Bengaluru
Cars24,3.4,4.7k,Internet,Gurugram
Mahindra Logistics,3.7,4.7k,Logistics,Mumbai
Lenskart,3.3,4.6k,Internet,New Delhi
Berger Paints,3.7,4.6k,Chemicals,Kolkata
Dell,3.8,4.6k,Consumer Electronics & Appliances,Bengaluru
Home Credit Finance,4.0,4.6k,NBFC,Gurugram
Deutsche Bank,3.8,4.6k,Banking,Pune
Motilal Oswal Financial Services,3.7,4.5k,Financial Services,Mumbai
OPPO,3.8,4.5k,Consumer Electronics & Appliances,Greater Noida
Hyundai Motor India Limited,4.1,4.5k,Automobile,Chennai
TeamLease Services,3.9,4.5k,Recruitment,Bengaluru
VE Commercial Vehicles,3.9,4.5k,Automobile,Indore
Thermax Limited,4.2,4.4k,Industrial Machinery,Pune
Jubilant Foods Works,3.7,4.4k,Hospitality,Noida
Macleods Pharmaceuticals,3.7,4.4k,Pharma,Mumbai
Carelon Global Solutions,3.9,4.3k,IT Services & Consulting,Bengaluru
Aakash Educational Services,3.2,4.3k,Education & Training,New Delhi
State Street Corporation,3.5,4.3k,Financial Services,Bengaluru
Jindal Steel Limited,3.9,4.3k,Iron & Steel,Angul
Bajaj Auto,3.8,4.3k,Automobile,Pune
Hindalco Industries,4.2,4.3k,Metals & Mining,Sambalpur
LG Electronics,3.8,4.2k,Consumer Electronics & Appliances,Pune
HDFC ERGO General Insurance,3.9,4.2k,Insurance,Mumbai
Kogta Financial India Limited,4.6,4.2k,NBFC,Jaipur
DCB Bank,3.8,4.2k,Banking,Mumbai
Royal Enfield,4.2,4.2k,Automobile,Chennai
John Deere,4.0,4.1k,Industrial Machinery,Pune
RBL Bank,3.5,4.1k,Banking,Mumbai
Tata Communications,3.8,4.1k,Telecom,Pune
Publicis Sapient,3.2,4.1k,IT Services & Consulting,Bengaluru
Cummins,4.3,4.1k,Industrial Machinery,Pune
Cloudnine Hospital,4.5,4.1k,Healthcare,Bengaluru
Alembic Pharmaceuticals,3.9,4k,Pharma,Vadodara
Pidilite Industries,4.2,4k,Chemicals,Mumbai
Bank of America,4.1,4k,Banking,Gurugram
Grasim Industries,4.0,4k,Building Material,Bharuch
Aditya Birla Sun Life Insurance,4.0,4k,Insurance,Mumbai
PNB MetLife,3.3,4k,Insurance,New Delhi
American Express,4.1,4k,Financial Services,Gurugram
Oyo Rooms,2.9,4k,Hospitality,Gurugram
Kyndryl,3.9,4k,IT Services & Consulting,Bengaluru
Aditya Birla Capital,3.8,4k,NBFC,Mumbai
Subros,3.7,3.9k,Auto Components,Noida
KPIT Technologies,2.8,3.9k,Software Product,Pune
ADP Private Limited,3.8,3.9k,Software Product,Hyderabad
Escorts Kubota Limited,4.1,3.9k,Industrial Machinery,Faridabad
Maersk,3.9,3.9k,Logistics,Chennai
Viatris,4.1,3.9k,Pharma,Hyderabad
JK Cement,4.0,3.9k,Building Material,New Delhi
XpressBees,4.1,3.9k,Logistics,Pune
PVR INOX,3.9,3.9k,Media & Entertainment,New Delhi
Altruist Technologies,4.3,3.9k,BPO,Bengaluru
Birlasoft,3.4,3.9k,IT Services & Consulting,Pune
PhonePe,4.0,3.8k,FinTech,Bengaluru
Blinkit,3.8,3.8k,Internet,Gurugram
Synechron,3.4,3.8k,IT Services & Consulting,Pune
Reliance Communications,3.9,3.8k,Telecom,Mumbai
Glenmark Pharmaceuticals,3.8,3.8k,Pharma,Mumbai
Kotak Mahindra Life Insurance Company,3.5,3.8k,Insurance,Mumbai
Bharat Electronics,4.2,3.8k,Electronics Manufacturing,Bengaluru
Dabur,3.8,3.8k,FMCG,New Delhi
Sodexo,4.0,3.8k,Hospitality,Mumbai
Cogent E Services,3.1,3.8k,BPO,Noida
UNO Minda,3.9,3.7k,Auto Components,Pune
ArcelorMittal Nippon Steel India,4.1,3.7k,Iron & Steel,Surat
Godrej & Boyce Manufacturing,3.8,3.7k,Consumer Electronics & Appliances,Mumbai
Ipca Laboratories,3.8,3.7k,Pharma,Mumbai
Abbott,4.1,3.7k,Pharma,Mumbai
Aarti Industries,4.1,3.7k,Agro Chemicals,Bharuch
Samvardhana Motherson Group,3.7,3.7k,Auto Components,Noida
Reliance Projects & Property Management Services,4.0,3.7k,Other,Kolkata
Reliance Digital,4.1,3.7k,Retail,Mumbai
IGT Solutions,3.2,3.7k,BPO,New Delhi
MRF Tyres,3.6,3.6k,Auto Components,Chennai
Indian Oil Corporation,4.3,3.6k,Oil & Gas,New Delhi
"NTT DATA, Inc.",3.9,3.6k,IT Services & Consulting,Bengaluru
Alkem Laboratories,3.9,3.6k,Pharma,Mumbai
Johnson Controls,3.5,3.6k,Industrial Automation,Pune
Honda Motorcycle & Scooter,4.1,3.6k,Automobile,Gurugram
[24]7.ai,3.4,3.6k,Hospitality,Bengaluru
Vishal Mega Mart,3.7,3.5k,Retail,New Delhi
Barclays,3.7,3.5k,Banking,Pune
Hindustan Coca Cola Beverages,4.0,3.5k,Beverage,Bengaluru
DTDC Express,3.7,3.5k,Logistics,New Delhi
Bajaj General Insurance Limited,3.6,3.5k,Insurance,Pune
RSPL Group,4.0,3.5k,FMCG,Kanpur
TVS Credit Services Ltd,4.1,3.5k,NBFC,Chennai
UBS,3.8,3.5k,Financial Services,Pune
IndusInd Nippon Life Insurance,3.3,3.5k,Insurance,Mumbai
ABB,4.0,3.5k,Industrial Machinery,Bengaluru
AGS Health,3.9,3.5k,Analytics & KPO,Chennai
Ceat Tyres,3.9,3.5k,Auto Components,Nagpur
Sagility,3.9,3.4k,BPO,Bengaluru
NatWest Group,3.9,3.4k,Banking,Gurugram
Ford Motor,4.2,3.4k,Automobile,Chennai
HARMAN,3.8,3.4k,Consumer Electronics & Appliances,Bengaluru
Alstom Transportation,3.7,3.4k,Engineering & Construction,Bengaluru
Croma,3.8,3.4k,Retail,Mumbai
Niva Bupa Health Insurance Company,4.0,3.4k,Insurance,New Delhi
InterGlobe Aviation,3.4,3.4k,Aviation,New Delhi
Conduent,3.4,3.4k,BPO,Bengaluru
Tata Technologies,3.4,3.3k,Automobile,Pune
Tata AIG,4.0,3.3k,Insurance,Mumbai
Indian Air Force,4.6,3.3k,Defence & Aerospace,New Delhi
GeBBS Healthcare Solutions,3.8,3.3k,BPO,Mumbai
Canara HSBC Life Insurance,4.1,3.3k,Insurance,Gurugram
Tata AutoComp Systems,3.7,3.3k,Auto Components,Pune
Jindal Stainless,4.1,3.3k,Iron & Steel,Jajpur
UPL,4.1,3.3k,Agro Chemicals,Ankleshwar
PepsiCo,4.0,3.3k,Food Processing,Hyderabad
Max Healthcare,4.0,3.3k,Healthcare,New Delhi
Ambuja Cements,3.9,3.2k,Building Material,Ahmedabad
Mankind Pharma,3.8,3.2k,Pharma,New Delhi
Titan Company,4.2,3.2k,Retail,Bengaluru
Amazon Transportation Services,4.2,3.2k,Logistics,Hyderabad
Allcargo Logistics,3.8,3.2k,Logistics,Mumbai
S&P Global,3.9,3.2k,Analytics & KPO,Hyderabad
Societe Generale Global Solution Centre,3.6,3.2k,IT Services & Consulting,Bengaluru
Dilip Buildcon,3.9,3.2k,Engineering & Construction,Bhopal
Tata Electronics,3.8,3.2k,Semiconductors,Hosur
MSN Laboratories,3.6,3.2k,Pharma,Hyderabad
Varroc Group,3.6,3.2k,Auto Components,Pune
Quest Global,3.5,3.2k,IT Services & Consulting,Bengaluru
Walmart,3.4,3.2k,Retail,Bengaluru
Ola Electric Mobility,3.3,3.2k,Automobile,Bengaluru
ESAF Small Finance Bank,3.6,3.2k,Banking,Thrissur
Afcons Infrastructure,4.2,3.2k,Engineering & Construction,Mumbai
IDFC FIRST Bharat,4.1,3.2k,Financial Services,Chennai
Torrent Pharmaceuticals,4.0,3.1k,Pharma,Ahmedabad
Marpu Foundation,4.9,3.1k,Non-Profit,Hyderabad
DS Group,4.0,3.1k,FMCG,Noida
Zepto,3.6,3.1k,Internet,Bengaluru
Bharat Financial Inclusion,3.7,3.1k,Financial Services,Hyderabad
Tata Elxsi,3.4,3.1k,IT Services & Consulting,Bengaluru
Square Yards,3.5,3.1k,Internet,Gurugram
HDFC Sales,3.9,3.1k,Financial Services,Mumbai
Zensar Technologies,3.6,3.1k,IT Services & Consulting,Pune
Suzlon Group,4.0,3.1k,Power,Pune
Indus Towers,3.6,3.1k,Telecom,Gurugram
Eternal Limited,3.6,3k,Internet,Gurugram
Fujitsu,3.8,3k,IT Services & Consulting,Pune
I Process Services,3.8,3k,Recruitment,Mumbai
VVDN Technologies,3.6,3k,IT Services & Consulting,Gurugram
CMS IT Services,3.1,3k,IT Services & Consulting,Mumbai
Future Group,4.2,3k,Retail,Mumbai
ACC,3.9,3k,Building Material,Mumbai
IKS Health,3.5,3k,BPO,Mumbai
Yazaki,3.9,3k,Auto Components,Pune
Shree Cement,3.8,3k,Building Material,Beawar
Nokia,4.0,3k,Telecom,Bengaluru
Shoppers Stop,3.9,3k,Retail,Mumbai
Apollo Tyres,4.0,3k,Auto Components,Chennai
Fiserv,2.7,2.9k,FinTech,Pune
Britannia,4.0,2.9k,Hospitality,Pune
Physicswallah,3.6,2.9k,EdTech,Noida
Exl India,3.5,2.9k,Logistics,New Delhi
Landmark Group,3.8,2.9k,Retail,Bengaluru
Dalmia Bharat Cement,3.9,2.9k,Building Material,Guwahati
SRF,4.1,2.9k,Chemicals,Bharuch
Foxconn,3.8,2.9k,Electronics Manufacturing,Chennai
Kansai Nerolac Paints,3.8,2.8k,Chemicals,Mumbai
ZS,3.0,2.8k,Management Consulting,Pune
Blue Dart Express Ltd,3.9,2.8k,Logistics,Mumbai
Nestlé,3.7,2.8k,FMCG,Gurugram
Star Health & Allied Insurance,3.5,2.8k,Insurance,Chennai
Exide Industries,3.4,2.8k,Electrical Equipment,Kolkata
UnitedHealth,4.0,2.8k,Healthcare,Hyderabad
Shell,3.9,2.8k,Oil & Gas,Bengaluru
Micro Labs,3.6,2.8k,Pharma,Bengaluru
TVS Supply Chain Solutions,3.8,2.8k,Logistics,Chennai
Flex,3.9,2.8k,Electronics Manufacturing,Chennai
KPMG Global Services,3.4,2.8k,Management Consulting,Bengaluru
KFintech,3.3,2.7k,Financial Services,Hyderabad
ElasticRun,3.6,2.7k,Logistics,Pune
Gallagher,3.6,2.7k,Insurance,Bengaluru
Blue Star,4.0,2.7k,Consumer Electronics & Appliances,Mumbai
Care Health Insurance,3.5,2.7k,Insurance,Gurugram
Tata Advanced Systems,3.7,2.7k,Defence & Aerospace,Bengaluru
Ajanta Pharma,3.9,2.7k,Pharma,Mumbai
Movate,3.1,2.7k,IT Services & Consulting,Chennai
G4S,4.0,2.7k,Law Enforcement & Security,Gurugram
Capita,3.5,2.7k,BPO,Pune
Voltas,4.0,2.7k,Consumer Electronics & Appliances,Mumbai
Sonalika Tractors,3.5,2.7k,Automobile,Hoshiarpur
Photon Interactive,4.1,2.7k,IT Services & Consulting,Chennai
Whitehat jr,3.3,2.7k,EdTech,Mumbai
Adani Power,3.7,2.7k,Power,Mundra
DBS Bank,3.7,2.7k,Banking,Hyderabad
ACT Fibernet,3.8,2.7k,Telecom,Hyderabad
BlackBuck,3.7,2.7k,Internet,Bengaluru
NoBroker,3.0,2.7k,Internet,Bengaluru
Foundever,3.3,2.7k,BPO,Hyderabad
Himalaya Wellness,3.9,2.7k,Pharma,Bengaluru
IntouchCX,2.7,2.7k,BPO,Hyderabad
Laurus Labs,4.3,2.6k,Pharma,Visakhapatnam
Fortis Healthcare,4.0,2.6k,Healthcare,New Delhi
Domino's Pizza,3.9,2.6k,Hospitality,New Delhi
BT Group,3.8,2.6k,Telecom,Gurugram
V-Mart,4.0,2.6k,Retail,Gurugram
GAO Tek,4.4,2.6k,Electrical Equipment,New York
JCB,3.8,2.6k,Industrial Machinery,Pune
Sahrudaya Healthcare (Medicover Hospitals),4.3,2.6k,Healthcare,Hyderabad
Alldigi Tech,3.8,2.6k,BPO,Chennai
Northern Trust Operating Services,3.6,2.6k,Financial Services,Bengaluru
Adani Group,3.8,2.6k,Power,Ahmedabad
Sterlite Technologies,3.8,2.6k,Hardware & Networking,Chhatrapati Sambhajinagar
CorroHealth Infotech,3.6,2.6k,Analytics & KPO,Hyderabad
Tractors and Farm Equipment,3.9,2.5k,Industrial Machinery,Chennai
ICICI Securities,3.9,2.5k,Financial Services,Mumbai
Bajaj Electricals,3.9,2.5k,Consumer Electronics & Appliances,Mumbai
Parle Agro,3.9,2.5k,Beverage,Mumbai
Sammaan Capital Limited,3.7,2.5k,NBFC,Gurugram
Emcure Pharmaceuticals,3.6,2.5k,Pharma,Pune
TaskUs,2.9,2.5k,BPO,Indore
Biocon Limited,4.0,2.5k,Biotechnology,Bengaluru
Planet Spark,3.8,2.5k,EdTech,Gurugram
Hero FinCorp,3.9,2.5k,NBFC,New Delhi
Cadila Pharmaceuticals,3.1,2.5k,Pharma,Ahmedabad
Mahindra Holidays & Resorts,3.5,2.5k,Hospitality,Mumbai
Datamatics Global Services,3.4,2.5k,IT Services & Consulting,Mumbai
Mahindra Rural Housing Finance,4.0,2.5k,NBFC,Mumbai
Intellect Design Arena,3.5,2.5k,Software Product,Chennai
Syngene International,3.7,2.5k,Clinical Research,Bengaluru
McDonald's,3.8,2.5k,Hospitality,New Delhi
Team Computers,3.7,2.5k,IT Services & Consulting,New Delhi
Newgen Software Technologies,4.1,2.5k,IT Services & Consulting,Noida
Paras Hospital,4.1,2.5k,Healthcare,Patna
Patanjali Ayurved,3.9,2.5k,FMCG,Haridwar
Bureau Veritas,3.8,2.4k,Other,Mumbai
Aditya Birla Group,4.1,2.4k,Metals & Mining,Mumbai
RMSI,3.5,2.4k,IT Services & Consulting,Hyderabad
3i Infotech,3.5,2.4k,IT Services & Consulting,Mumbai
Cholamandalam MS General Insurance,3.7,2.4k,Insurance,Chennai
Info Edge,3.8,2.4k,Internet,Noida
Taj Hotels Resorts and Palaces,4.2,2.4k,Hospitality,Mumbai
Statestreet HCL Services,3.4,2.4k,BPO,Chennai
Delhi Public School,3.7,2.4k,Education & Training,New Delhi
Aavas Financiers,3.9,2.4k,NBFC,Jaipur
Lodha,4.2,2.4k,Real Estate,Mumbai
Capgemini Engineering,3.3,2.4k,IT Services & Consulting,Bengaluru
Axis Direct,3.6,2.4k,Financial Services,Mumbai
Straive,3.3,2.4k,IT Services & Consulting,Chennai
Cybage,3.7,2.4k,IT Services & Consulting,Pune
TCE,3.9,2.4k,Engineering & Construction,Mumbai
Sopra Steria,3.9,2.4k,IT Services & Consulting,Noida
Apollo Pharmacy,3.7,2.4k,Pharma,Hyderabad
Kia India,3.9,2.4k,Automobile,Anantapur
GVK Emergency Management and Research Institute,3.6,2.4k,Non-Profit,Lucknow
SBI Securities,3.6,2.4k,Financial Services,Mumbai
Xoriant,4.0,2.4k,IT Services & Consulting,Pune
KocharTech,3.6,2.4k,IT Services & Consulting,Kolkata
Akums Drugs & Pharmaceuticals Limited,4.2,2.4k,Pharma,Haridwar
Sobha,3.8,2.3k,Real Estate,Bengaluru
Star Union Dai-ichi Life Insurance,3.8,2.3k,Insurance,Mumbai
Endurance Technologies Limited,3.9,2.3k,Auto Components,Chhatrapati Sambhajinagar
BNP Paribas,3.7,2.3k,Banking,Mumbai
Bharat Petroleum,4.2,2.3k,Oil & Gas,Mumbai
Daikin Airconditioning India Pvt. Ltd.,4.2,2.3k,Consumer Electronics & Appliances,Neemrana
Eureka Forbes,3.6,2.3k,Consumer Electronics & Appliances,Mumbai
Panasonic Life Solutions India,4.0,2.3k,Consumer Electronics & Appliances,Mumbai
Lifestyle,4.2,2.3k,Retail,Bengaluru
Myntra,3.8,2.3k,Internet,Bengaluru
JK Tyre,3.9,2.3k,Auto Components,Chennai
Radisson Hotels,4.0,2.3k,Hospitality,New Delhi
AWL Agri Business,4.1,2.3k,FMCG,Ahmedabad
SBI General Insurance,3.5,2.3k,Insurance,Mumbai
Bharti AXA Life Insurance,3.6,2.3k,Insurance,Mumbai
Unacademy,3.0,2.3k,EdTech,Bengaluru
Cisco,4.1,2.3k,Hardware & Networking,Bengaluru
Renault Nissan Technology & Business Centre India,3.6,2.3k,Automobile,Chennai
Coromandel International,4.1,2.3k,Agro Chemicals,Visakhapatnam
Meesho,3.7,2.3k,Internet,Bengaluru
Sify Technologies,3.6,2.2k,IT Services & Consulting,Chennai
ValueLabs,3.4,2.2k,IT Services & Consulting,Hyderabad
Indian Railways,4.2,2.2k,Railways,Kolkata
Henry Harvin Education,4.0,2.2k,EdTech,Noida
Lava International,3.9,2.2k,Consumer Electronics & Appliances,Noida
Whirlpool,4.0,2.2k,Consumer Electronics & Appliances,Pune
Shahi Exports,3.9,2.2k,Fashion & Textile,Bengaluru
Allstate,3.7,2.2k,Insurance,Pune
Bank of Baroda,3.6,2.2k,Banking,Mumbai
GlaxoSmithKline Pharmaceuticals,4.1,2.2k,Pharma,Bengaluru
Mercedes-Benz Research and Development India,3.5,2.2k,IT Services & Consulting,Bengaluru
Generali Central Life Insurance,3.4,2.2k,Insurance,Mumbai
Poonawalla Fincorp,3.5,2.2k,NBFC,Pune
Manipal Hospitals,4.0,2.2k,Healthcare,Bengaluru
Infinite Computer Solutions,3.2,2.2k,IT Services & Consulting,Bengaluru
Spark Minda,3.8,2.2k,Auto Components,Pune
Nuvoco Vistas,4.1,2.2k,Building Material,Kolkata
Jio Platforms,3.4,2.2k,IT Services & Consulting,Mumbai
Saint-Gobain,3.8,2.2k,Building Material,Mumbai
FirstCry,3.5,2.2k,Retail,Pune
Life Insurance Corporation of India,4.4,2.2k,Insurance,Mumbai
CAMS,3.5,2.2k,Financial Services,Chennai
Brakes India,3.9,2.2k,Auto Components,Chennai
Cargill,3.9,2.2k,Food Processing,Bengaluru
NTT DATA Business Solutions,4.1,2.2k,IT Services & Consulting,Bengaluru
Nokia Networks,4.1,2.2k,Hardware & Networking,Bengaluru
BHEL,4.2,2.2k,Electrical Equipment,Bengaluru
upGrad,3.3,2.2k,EdTech,Bengaluru
Microsoft Corporation,3.8,2.2k,Software Product,Bengaluru
Kotak Securities,3.4,2.2k,Financial Services,Mumbai
Power Mech Projects,3.8,2.2k,Engineering & Construction,Hyderabad
Force Motors,3.7,2.1k,Automobile,Pune
CitiusTech,3.0,2.1k,IT Services & Consulting,Mumbai
Pfizer,3.9,2.1k,Pharma,Visakhapatnam
